id,release_date,debit_account,credit_account,amount,document,operation_nature,cost_center,taxes,currency,conversion_rate
38,2022-09-03,DPFAS2,CG6T6S,116751.54974578852,DOCZ6I64,OP7Z40A,CCEKNQZ,444.1325202720218,nan,2.135299770937235
39,2022-06-25,DZ2NQB,CE240M,9443.11,DOCLUOH9,OPD9NF4,CCSDNJM,444.1325202720218,BRL,3.4756056261939174
40,2022-12-03,D6W216,CW1R0U,6850.02,DOCD90H5,OPFPDBX,CCNRM7E,430.1553391717098,BRL,2.5681167953894297
41,2021-06-17,DN9FHM,CWM7SI,3659.13,DOCIF3CG,OPBCXQP,CCM05VF,154.26397977720023,BRL,2.135299770937235
42,2020-05-07,DZA0UI,C6II8J,4426.62,DOCDWW3B,OPB4V9B,CCEQIWR,471.09235950902394,JPY,2.5681167953894297
43,2023-01-28,DG1PUI,CPKAER,7006.55,DOCE1AC5,OPZSD1K,CCHHI86,444.1325202720218,EUR,2.135299770937235
44,2020-01-29,DZ563D,CUTX6R,696.23,DOCVIQ09,OPYBDX8,CCN4BHJ,444.1325202720218,USD,3.523286759155978
45,2020-07-10,DGPCPO,CWT5A0,6700.99,DOCRG0L1,OPP2I1U,CC4XL8S,,JPY,
46,2022-03-27,DJP1ML,CD4UTF,126750.84560458308,DOCRWLST,OPK6X0N,CCW9EOQ,,EUR,2.135299770937235
47,2023-09-30,DLR1HO,CUX12F,41053.235164612975,,OP3103W,CCYWYUO,326.4998804726215,nan,2.5681167953894297
48,2023-07-04,DPWYZ3,CXJW64,1376.37,DOC5PV1U,OPOC77Q,CCTBJWQ,430.1553391717098,JPY,2.135299770937235
49,2020-01-03,DUMUUK,CQKYIZ,3222.74,DOCDKGCA,OPNHUKW,CCMFGUQ,444.1325202720218,nan,2.5681167953894297
50,2023-06-07,D3O7EC,CH4B25,3700.74,DOCSGL5Q,OP0PRS3,CCJK2KS,444.1325202720218,EUR,1.2480290666241416
51,2022-10-07,D5MCZY,CVI624,5744.95,DOCV07MT,OPC6GK4,CC8ICW0,154.26397977720023,JPY,2.135299770937235
52,2021-11-13,DQL48A,C0SZRT,4442.15,DOC54CGF,OPU2PAQ,CCM1IMG,,USD,
53,2021-05-14,DOE9WO,CHMPTP,9884.9,DOCIEUYI,OP9YWE1,CCSWBPD,,EUR,1.2480290666241416
54,2021-10-28,DFF5SF,C622KK,1110.24,DOCRAKFR,OPKQDIP,CC8SZCA,444.1325202720218,USD,2.5681167953894297
55,2023-12-12,D66ZZ0,CYUA4N,2167.88,DOC67FKI,OP4W90B,CCPA4XE,430.1553391717098,nan,3.4756056261939174
56,2020-05-08,D0S3YZ,CE4MV2,1696.96,DOCRULBA,OPLL9HQ,CCHR30E,444.1325202720218,USD,3.4756056261939174
57,2021-01-26,DNG23C,CZTFAV,6565.77,DOCE0791,,CCCBIG8,471.09235950902394,JPY,2.135299770937235
58,2023-03-08,DGJ2LZ,C49F66,2607.59,DOC6JPOC,OPBXRU6,CCVCSVT,,JPY,
59,2021-03-30,D2SQ61,CKQ0IC,4716.48,DOCPJXL4,OPKP83R,CC17WTH,,BRL,2.135299770937235
60,2021-05-03,DQFWGS,CFIM64,2519.81,DOCCOBIX,OP3WP4H,CCXHKT6,154.26397977720023,USD,3.4756056261939174
61,2020-10-18,D6L8G2,CX9RWJ,1673.8,DOCAV0DA,OPO48FR,CCMCGUI,430.1553391717098,BRL,2.135299770937235
62,2023-01-17,DV3SZ6,C8O7CC,1192.71,,OPTZD8J,CCIEBG0,154.26397977720023,EUR,2.135299770937235
63,2022-07-06,DE1CCS,C3HY94,6597.66,DOCNVVQ6,,CC5PMOG,,nan,3.4756056261939174
64,2020-07-05,DA1DVU,CP90Y8,1468.01,DOCJZF3K,OPBZRM5,CCDDR7G,326.4998804726215,EUR,3.4756056261939174
65,2020-06-13,DMNN4W,CBFH14,2046.17,DOCAUPWO,OPPHXDL,CCXXZG3,430.1553391717098,nan,1.2480290666241416
66,2021-10-17,DE7GEM,CBT769,3750.38,DOCBWCUT,OPVC955,CCZ4O77,444.1325202720218,USD,1.2480290666241416
67,2022-11-06,DVBXZ2,CXNHTU,8227.83,DOCSZ5FR,OPC3S3N,CCSGVBI,444.1325202720218,JPY,
68,2022-09-29,D6V2G7,C21LH7,1061.3,,,CC6XJ4X,326.4998804726215,USD,2.5681167953894297
69,2020-08-11,D7OPVW,CRGI68,8395.65,DOC4KKBG,OPJ7DS7,CCSXWF0,430.1553391717098,nan,2.5681167953894297
70,2021-09-09,DJL4QG,C9B4XL,1051.37,DOCF265I,OPCWMHT,CCE4G12,471.09235950902394,BRL,
71,2023-02-02,DQJ8CD,CTB6AG,9766.95,,OPSZIKJ,CC345OG,444.1325202720218,nan,3.4756056261939174
72,2021-08-19,DAAOY6,CCR29S,4739.65,DOCTZP9Q,OPJWGWW,CCTYV3W,154.26397977720023,BRL,
73,2020-09-12,DL20ZR,CCPE7B,9769.93,DOC56GNV,OP5UGVO,CC3YYU6,444.1325202720218,EUR,
74,2023-01-26,D4TO27,CG66DX,6087.97,DOCKO85I,OP1GVYC,CC60HQR,444.1325202720218,JPY,1.2480290666241416
75,2021-11-12,DBS4CM,?,7418.71,DOCPCF91,OPWKNUE,CCZCE75,471.09235950902394,EUR,3.4756056261939174
76,2023-01-11,DD8FS2,CUIJNO,487.96,DOCOR3ZO,OP8WVVW,CCY1ZNX,6391.963984371231,USD,1.2480290666241416
77,2021-02-20,D8AM7Z,CG8K7J,54538.348076541064,,OPTK5DD,CCIBK55,154.26397977720023,BRL,2.135299770937235
78,2023-05-20,DF2FY7,CH4IA4,1289.95,DOCGYCMX,OPRERO3,CCBFWH4,154.26397977720023,BRL,3.4756056261939174
79,2023-01-25,D7LA8W,CLCANX,3031.79,DOCWDBTQ,OPIXM3B,CCEXLR5,326.4998804726215,EUR,3.523286759155978
80,2023-04-18,DOIWL8,CBUJGV,1275.4,DOC3DE3Y,OPT3I38,CC5ZYP9,154.26397977720023,JPY,
81,2021-08-12,DMFPNU,CUJD22,3248.03,DOCVN2FR,OP7X3SX,CC813AA,326.4998804726215,JPY,
82,2022-06-30,DN1FVY,C98T7C,4201.2,DOC98NMM,OPXDKEX,CC05ASD,,EUR,3.4756056261939174
83,2020-07-06,DZGFAL,CMW4PQ,735.06,DOCSOXQ1,OPEVBJ2,CCZJN1T,444.1325202720218,JPY,3.523286759155978
84,2023-05-06,DAB7UF,CO9J26,6955.47,,OP1GVA4,CCRTH0Q,444.1325202720218,USD,2.5681167953894297
85,2022-02-27,DF22PU,C65T6W,5709.35,DOC1KGHZ,OP9EOD7,CCT4T5P,430.1553391717098,nan,3.4756056261939174
86,2021-10-11,DYZ7NH,CPZAG5,2727.36,DOCYOX47,OPH088C,CCYIL94,471.09235950902394,BRL,
87,2023-03-24,DOEUMD,C69ZB3,5280.16,DOCTGF87,OPPLZT6,CCRC799,,BRL,2.5681167953894297
88,2021-05-10,D6IN6I,CL0AAN,1030.01,DOC1YW2M,OP36MCD,CC7VZAF,326.4998804726215,BRL,
89,2021-08-17,DR7CJJ,CC4HV7,5801.87,DOCV4VCK,OPBWKJK,CCCWJDV,444.1325202720218,nan,3.4756056261939174
90,2021-01-11,DSTV25,CMTPD7,9300.03,DOCUPAVD,OPLI4EE,CCSWOS4,154.26397977720023,USD,2.5681167953894297
91,2021-01-22,DJV5OW,C5FPA8,3253.83,DOC59AKD,,CCRP95T,,EUR,2.135299770937235
92,2021-01-17,DT4FO1,CVMAHU,6707.36,,OPMQBXD,CC4E7ZK,,JPY,1.2480290666241416
93,2020-03-08,D09PDQ,C1ZVUR,1404.8,DOCX0NE6,OP0KM9C,CCGVQ9T,326.4998804726215,JPY,3.4756056261939174
94,2023-06-08,DQGRF7,CIRV6P,7191.64,DOCTSCVQ,OPPEO2A,CC3ACY3,154.26397977720023,nan,2.135299770937235
95,2023-09-06,D51ENF,CKPJRD,2965.12,DOC1MPVJ,OPC7E1N,CCRC6SL,430.1553391717098,BRL,3.523286759155978
96,2021-06-16,DMRSB5,CZAJSX,1913.59,DOCV6EW4,OPFXYEV,CCNUY3U,326.4998804726215,JPY,
97,2022-09-02,DJ0LNB,C99ZN5,5906.48,,OPL4Z5J,CCD2U8T,444.1325202720218,EUR,
98,2020-05-21,DTBONH,CXYL3N,299.06,DOCYBCVD,,CCDNEYU,471.09235950902394,JPY,3.4756056261939174
99,2020-07-02,DEDMBU,CLVCBP,8306.51,DOCPMMLY,OP75RWU,CCFY60P,430.1553391717098,BRL,3.523286759155978
100,2023-10-22,DQXZCP,CO0K46,146.49,DOCU0MLD,OPKUTK2,CCN0AZR,471.09235950902394,EUR,3.4756056261939174
101,2020-09-23,D0EFFB,C5D4I4,6810.38,DOC57YLE,OP4VIR5,CC425T1,326.4998804726215,BRL,1.2480290666241416
102,2020-11-02,DER6WK,C9LF21,2773.08,DOC6DQN1,OP9CUAW,CCODCW9,471.09235950902394,BRL,3.4756056261939174
103,2020-03-20,D2Y264,C533D5,7378.42,DOC5TSZO,OPMK48Y,CCLBXEV,444.1325202720218,nan,
104,2020-06-13,D1JFW8,CE382N,9625.67,DOC9YL20,OPXHZ0F,CCR3QF7,,BRL,
105,2023-12-03,DTFN0T,CNL7TZ,2562.66,DOCTUDG7,OPJAXSM,CC1D6KW,154.26397977720023,EUR,2.5681167953894297
106,2023-01-12,DI6NOQ,CLY38G,5803.96,,OPCMKDR,CC7F3Y4,471.09235950902394,nan,2.135299770937235
107,2023-10-31,DLOOD9,CSKDO1,5961.22,DOCUD0QA,,CCCA0VM,430.1553391717098,nan,1.2480290666241416
108,2022-03-12,DFVW95,C9MZ6N,5765.29,DOC8F62R,OPYY6NU,CCQQ0G4,444.1325202720218,EUR,2.5681167953894297
109,2022-12-10,DD2ZVV,CV9YMA,2308.51,DOCXVTKI,OPEJWUZ,CC2OA1C,444.1325202720218,nan,2.5681167953894297
110,2021-07-18,DSJ0GD,C8Y4I4,9532.22,DOCC90C4,OPMY4Z5,CCVHHXQ,326.4998804726215,EUR,2.5681167953894297
111,2022-12-04,DBEN0L,CKYUPJ,4526.54,DOCFWEV5,OPJFF6I,CCNUTJE,430.1553391717098,JPY,2.135299770937235
112,2021-04-27,DYNZX3,C1ZUH8,8479.45,,OPAHKL7,CC0QP06,471.09235950902394,nan,1.2480290666241416
113,2021-03-16,DIFT62,C7FQT0,7024.84,DOCVWEDW,OPY0DXO,CCCCN3B,471.09235950902394,JPY,
114,2023-10-23,DS5AXG,CEG4QG,3044.63,DOC5OF1F,,CCJLP2S,471.09235950902394,nan,2.5681167953894297
115,2023-04-22,D9OXPY,C05FAZ,8156.6,DOCV8CIG,OP6XJCE,CC8BMVH,430.1553391717098,BRL,2.5681167953894297
116,2022-05-08,DJV7GP,CP4BU4,4025.41,DOC2MVH7,OPBVSW6,CCJEZ1K,6779.970521973589,EUR,2.5681167953894297
117,2023-04-02,DBN2XO,CR870Q,8822.92,DOCBZPJR,OP1T715,CCSZXEF,430.1553391717098,BRL,3.4756056261939174
118,2021-07-17,DI5BWJ,C20AEJ,5854.6,DOCQCF2E,OPXJHS6,CCYOQM6,444.1325202720218,JPY,
119,2022-07-11,DSTOJI,C5N7DE,8829.18,DOCBZ5DN,,CCXTA3N,430.1553391717098,EUR,2.135299770937235
120,2022-10-05,DNKV7Q,CO00HL,6956.06,DOC5RNRH,OPFH6EJ,CCISKF7,154.26397977720023,EUR,2.135299770937235
121,2023-09-14,D8RUOD,CE2H5O,7280.02,DOCTB0O3,OPNKPFX,CC7ZB3S,,JPY,3.4756056261939174
122,2023-08-06,DR3KMD,CBDYQN,5063.11,,OPUG5NR,CC2DRFA,,EUR,2.5681167953894297
123,2023-12-05,DXCXVH,C89FZJ,9565.23,DOCH20GN,OPH8BZ6,CCUW8BJ,154.26397977720023,EUR,3.523286759155978
124,2022-01-01,DBOZVZ,C44YLK,6475.5,DOCMKDKO,OP3TER0,CCU0LSJ,430.1553391717098,nan,
125,2020-06-17,DDRM25,C98TEY,4296.16,DOC51QRP,OP8HSNT,CCV29O1,326.4998804726215,USD,2.135299770937235
126,2021-10-26,DYIR9J,CI7OF5,6103.29,DOCCL5TE,OPJDQ87,CC3XYBG,,BRL,3.523286759155978
127,2023-06-08,DAM87D,C0I70K,290.01,DOC412FI,OPZ0JK3,CCTCLE6,154.26397977720023,USD,3.523286759155978
128,2020-08-24,DKP084,CBWOK7,3085.59,DOC70JKB,OPFDHX6,CCA6TVT,326.4998804726215,EUR,
129,2022-09-23,DFKH1X,CAOAUK,6635.72,DOCVB0MW,OPBER7B,CCF9L3J,471.09235950902394,USD,2.135299770937235
130,2023-04-17,D2KW3E,CANTW1,2971.77,DOC7BCZM,OP1YGWD,CC5FPSN,154.26397977720023,nan,3.523286759155978
131,2023-07-14,DM5IZW,CR2DBO,6218.35,DOC3Y5T0,OPKP55L,CC7H2NQ,,JPY,2.135299770937235
132,2021-11-17,DMJ91Z,CI3AD0,4344.81,DOCLZ7FS,OPCVHRF,CCVDSZ7,430.1553391717098,JPY,3.523286759155978
133,2021-01-24,DKD6EF,C12HPN,1441.19,DOC20Z41,OP2SWJH,CC3TH1R,430.1553391717098,USD,
134,2021-05-12,D707MI,CM60ZA,3053.0,DOCZCPCV,OPGUKOI,CCBKSP7,430.1553391717098,nan,
135,2020-02-03,DY9QQ7,COVOLF,5742.65,,OPXZDSW,CCCDE3L,,JPY,2.135299770937235
136,2021-07-09,D93HOL,CHHO80,5949.64,DOC5ELV4,OPMYHD7,CC8PNP6,471.09235950902394,USD,
137,2020-08-27,DISAQO,C11XXT,5785.82,DOCWUX6B,OPALYLZ,CCZ8PGX,430.1553391717098,USD,1.2480290666241416
138,2021-03-27,D83PB1,CB3GAL,6566.69,DOCJNJRJ,OP1OUCL,CCN3XQO,326.4998804726215,BRL,
139,2022-01-31,DOJ0GG,CEILOL,6555.82,DOCIGL84,OPMXKQB,CCYPN52,444.1325202720218,nan,3.4756056261939174
140,2020-12-15,DZB8AT,CG1INN,82209.16031039628,DOCLCRZO,OPVX4VO,CC0Y2FA,471.09235950902394,BRL,
141,2021-11-12,DE3V6C,C2V7VI,8975.81,DOCBJUUA,OPL5YGZ,CC7ECZ2,326.4998804726215,USD,2.135299770937235
142,2022-05-22,DQ4SWO,C1AGKL,3738.86,DOCLFZZ5,OPIPGQZ,CCTP7ZT,154.26397977720023,BRL,2.5681167953894297
143,2020-05-07,DT7IOR,CS9O0P,4415.06,DOCFRM9S,OPGL2GC,CCC6DET,444.1325202720218,BRL,3.523286759155978
144,2020-07-25,DAH9B8,CGDNN2,8930.04,DOCE39A2,OP8SS14,CCF77WE,471.09235950902394,USD,1.2480290666241416
145,2020-10-26,DBMNMQ,CBSYWD,8081.32,DOC6ZVYP,OPYHPXR,CC68D6Y,,JPY,2.135299770937235
146,2023-11-29,DESJDD,C4U9D8,7068.5,DOCULOLE,OPJZYIU,CCH2J8C,444.1325202720218,EUR,2.135299770937235
147,2021-03-24,DAF1EH,CE85KC,1092.25,DOCU5OP5,OPTSNWJ,CCIIJE3,471.09235950902394,JPY,3.523286759155978
148,2020-04-02,D9LPSU,CCFV9T,9202.88,DOCS62AT,OP4GMFN,CCTL1D6,471.09235950902394,nan,3.523286759155978
149,2023-03-21,DYRSQG,CVE6YD,7170.99,DOCQ8J4Y,OP1DT6F,CC5BT29,326.4998804726215,JPY,3.4756056261939174
150,2023-07-22,DTEJCS,C2133M,9988.59,DOCMSVLR,OPAC2ID,CC6D3HW,471.09235950902394,USD,2.135299770937235
151,2022-12-30,D35QM1,CJRZI5,1579.54,DOCDB1ZS,OPN6DIH,CCJL5GC,471.09235950902394,BRL,1.2480290666241416
152,2023-05-18,DOQ5T8,C1KMNL,8694.45,DOCUQTET,,CC5W746,430.1553391717098,nan,3.4756056261939174
153,2023-10-25,D1IIRF,C7VFI6,32136.3217996559,DOC56GEQ,,CCWWO5M,444.1325202720218,nan,3.4756056261939174
154,2020-05-31,DPMR7F,CKIFD6,6194.04,DOCCEECW,OPXRQY0,CC9P5P9,326.4998804726215,nan,1.2480290666241416
155,2020-02-24,D3YG7W,CR3DIY,1325.82,,OPF0HVW,CC5MK55,471.09235950902394,BRL,3.523286759155978
156,2020-09-11,DECMMW,CFJACJ,8495.28,DOCQZWZC,OPI3T9F,CCBM2OL,154.26397977720023,JPY,3.523286759155978
157,2023-07-24,DF6OGR,CL5EXY,8092.46,DOCS02AJ,OPHHID8,CCJMYOT,471.09235950902394,BRL,2.135299770937235
158,2021-01-21,DGB81M,CXVOMU,5734.1,DOC9Z7K6,OP0EGUN,CCW25FD,326.4998804726215,EUR,3.4756056261939174
159,2023-05-26,D13GLS,CDP5PE,4131.11,DOC6NQY0,OPY9K1K,CCZZOEE,430.1553391717098,nan,1.2480290666241416
160,2023-03-25,DT4UFY,CPKJOE,784.75,DOCJZ0A6,OPW3KSD,CCJYPGT,444.1325202720218,USD,1.2480290666241416
161,2020-09-02,DRX7VB,COES7I,7004.54,DOCIYQXI,OPVN18X,CC8ZJ0X,444.1325202720218,BRL,1.2480290666241416
162,2022-03-12,DRVL0A,CHKKQ6,4590.07,DOCN86HV,OPFTRU4,CCNP0BZ,471.09235950902394,nan,3.4756056261939174
163,2020-07-06,DCI5VX,CVMKZR,7248.35,DOCCMB1R,OP43VFG,CC7EEE5,471.09235950902394,BRL,
164,2022-01-28,DD8S7W,CA9AZC,8677.19,DOCCAFNY,OP2IVC4,CC0GCSF,154.26397977720023,BRL,
165,2020-08-25,DKYRGN,CKSX69,9757.66,DOCW2CDX,OPHGC78,CCUCXWH,444.1325202720218,JPY,2.135299770937235
166,2020-03-15,D4ZO9L,C7VICX,8572.45,DOCUY0C4,OP587GC,CCGA8RN,444.1325202720218,BRL,2.5681167953894297
167,2023-05-25,D9CHEF,CUXNED,215.97,DOCH52FK,OPAJMCF,CCN9TRH,444.1325202720218,USD,3.4756056261939174
168,2020-02-14,D78ZHN,CJ3MIK,3663.78,DOC5P96U,OPOXRUI,CCQB2D6,,EUR,2.5681167953894297
169,2021-02-02,DBODOU,CGFXH6,7326.91,DOCA97XI,OPBH56P,CCJ8JL7,444.1325202720218,EUR,3.4756056261939174
170,2021-01-13,D2TW8Y,CFJAJW,1799.13,DOCLNTHR,OPAI6FC,CCM063W,444.1325202720218,BRL,
171,2020-09-10,DT6LTC,CWSI7I,5258.26,DOC9FKUS,OPUG2Y8,CCSLIKH,154.26397977720023,BRL,3.523286759155978
172,2022-09-08,DV01HW,CXCNPU,637.95,DOCY5NZT,OPN5XLK,CCYVPX5,326.4998804726215,BRL,
173,2021-03-07,DMDA3W,CCXMDC,2079.97,DOC7X1ZN,,CC6L1IR,154.26397977720023,EUR,2.5681167953894297
174,2020-05-05,D5V8NQ,CPMLY6,283.37,,OPB0G10,CCTIFOQ,326.4998804726215,BRL,3.4756056261939174
175,2023-10-23,DDQ59N,C9T74E,7957.61,DOCYQTY4,OPA7ZV7,CCBBVAP,430.1553391717098,JPY,2.5681167953894297
176,2020-02-16,D07IV7,COGZBK,2316.85,DOCGUZ19,OP5KVLL,CC1B83L,154.26397977720023,BRL,1.2480290666241416
177,2023-01-19,DBLVR8,CH6PST,3518.98,DOCNCGSG,OPKCT4C,CCPJ11N,444.1325202720218,USD,3.4756056261939174
178,2022-05-21,DSPN5E,CE7AGU,9288.0,DOCY24LV,OP52I74,CCF38SM,444.1325202720218,USD,2.135299770937235
179,2023-06-24,DV7EFB,COE1PQ,133039.94868215578,,,CCU879F,444.1325202720218,EUR,
180,2020-07-26,DZIWJE,CL1S0P,415.21,DOC3Q8ZP,OPY38PQ,CCL5W25,154.26397977720023,USD,2.135299770937235
181,2021-06-16,DKWW0T,CDCW2X,1730.47,DOC61OHD,OPE90A7,CCNBA0W,471.09235950902394,EUR,
182,2020-05-23,DCSA63,CD5NOZ,6252.64,DOCTGYOJ,OPJFH7I,CC0IOLL,326.4998804726215,USD,
183,2021-03-28,DWJE9D,CG97BS,5814.56,DOC76RGL,OP7JGP7,CC5YOVN,,EUR,2.135299770937235
184,2020-05-27,DU81JD,CLUZ8C,2455.14,DOCH19TA,OPLPORE,CCINWAK,430.1553391717098,nan,2.135299770937235
185,2023-08-17,DC9EB4,CGJOJZ,9348.72,,OPKP9YQ,CC616F1,471.09235950902394,USD,1.2480290666241416
186,2021-09-08,DID4HG,CHRWLB,6178.26,DOCSNZ87,OP2X0NI,CCK7F2T,,BRL,2.5681167953894297
187,2021-12-18,DXIHZP,C1FJ60,5402.76,DOC7R723,OPX47W2,CC1WTGR,154.26397977720023,EUR,2.135299770937235
188,2022-06-12,DFZ69T,CSV264,5940.11,DOCGS301,,CCL29PZ,326.4998804726215,EUR,3.523286759155978
189,2021-01-04,DHQLEU,CPQOO4,7328.21,DOC3X0MJ,,CCGOON2,6190.804118524189,JPY,3.4756056261939174
190,2020-05-05,D1AXL5,CHAU9W,3188.26,DOCQ6I6T,OP99W7D,CCDP4XM,430.1553391717098,nan,2.5681167953894297
191,2022-10-28,D2LDA2,C81GNH,4042.39,DOC6ZN5D,OPTNGAB,CC5SSDR,154.26397977720023,nan,1.2480290666241416
192,2022-08-14,DFJHT5,C60496,2177.45,DOCA5SHT,OP6M5QJ,CC2KDUM,326.4998804726215,BRL,
193,2020-03-21,DDS3EV,CABZJJ,1943.31,DOCE4YGC,,CCJ6M7F,471.09235950902394,EUR,2.5681167953894297
194,2023-05-06,DQLKWY,CVOCAH,9449.29,DOCX8K3H,OPCZNCQ,CC4KS9K,,nan,3.523286759155978
195,2020-07-25,DKAA4C,CSAL9C,7421.55,DOCEO4YZ,,CC729L4,444.1325202720218,nan,2.135299770937235
196,2023-12-03,D9L9XK,CTITQR,4955.54,DOC9Z1GK,OPZQ4OI,CCTDL6L,326.4998804726215,JPY,2.135299770937235
197,2022-03-12,D2I5SJ,C5U8UU,2351.4,DOCLOZLV,OPH0T1E,CC8J6LQ,444.1325202720218,BRL,3.523286759155978
198,2021-02-12,DCNKI8,CQ2UD8,2618.13,DOCMZ103,,CCR5ALJ,326.4998804726215,BRL,3.4756056261939174
199,2021-06-16,D6T6ZP,CBXBP6,674.49,,OPY4G71,CCLE1H6,,nan,3.523286759155978
200,2022-01-04,DGBZRB,C7RAAY,82767.37251573245,DOC4S62A,OP86XB7,CCZY6W7,444.1325202720218,USD,
201,2022-08-21,DCDGEP,CH2VDD,3186.78,DOCFSBTN,OP0EEVK,CCHAWYO,471.09235950902394,JPY,2.5681167953894297
202,2023-03-12,D6NOSR,C5OZG9,6993.8,DOCXT12R,OPUP37O,CCCV3M2,326.4998804726215,USD,3.523286759155978
